animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,venomous,fins,legs,tail,class_type
aardvark,1,0,0,1,0,0,1,1,1,0,0,4,0,Mammal
antelope,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
bass,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
bear,1,0,0,1,0,0,1,1,1,0,0,4,0,Mammal
boar,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
buffalo,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
calf,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
carp,0,0,1,0,0,1,0,1,1,0,1,0,1,Fish
catfish,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
cavy,1,0,0,1,0,0,0,1,1,0,0,4,0,Mammal
cheetah,1,0,0,1,0,0,1,1,1,0,0,4,1,Mammal
chicken,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
chub,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
crow,0,1,1,0,1,0,1,0,1,0,0,2,1,Bird
deer,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
dogfish,0,0,1,0,0,1,1,1,1,0,1,0,1,Fish
dove,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
duck,0,1,1,0,1,1,0,0,1,0,0,2,1,Bird
elephant,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
flamingo,0,1,1,0,1,0,0,0,1,0,0,2,1,Bird
flea,0,0,1,0,0,0,0,0,0,0,0,6,0,Bug
frog,0,0,1,0,0,1,1,1,1,0,0,4,0,Amphibian
frog,0,0,1,0,0,1,1,1,1,1,0,4,0,Amphibian
fruitbat,1,0,0,1,1,0,0,1,1,0,0,2,1,Mammal
giraffe,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
girl,1,0,0,1,0,0,1,1,1,0,0,2,0,Mammal
gnat,0,0,1,0,1,0,0,0,0,0,0,6,0,Bug
goat,1,0,0,1,0,0,0,1,1,0,0,4,1,Mammal
gorilla,1,0,0,1,0,0,0,1,1,0,0,2,0,Mammal
